College Name,University Name,District,Students,Students Male,Students Female,Teachers,Placement Percentage,Scholarships,Pass Percentage,Attendance Percentage,Infrastructure Score,AI Risk Score,Budget Lakhs,NAAC Grade,Academic Year
"Shri Guru Gobind Singhji Institute of Engineering, Nanded 23",Dr. Babasaheb Ambedkar Technological University,Aurangabad,3544,1689,1855,183,67,694,81,94,70,93,855,B+,2025
"D.Y. Patil Institute of Engineering, Thane 19",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3590,2414,1176,137,76,410,84,65,67,67,323,A+,2022
"D.Y. Patil Institute of Engineering, Thane 19",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3780,2274,1506,139,84,413,84,65,68,69,360,A+,2023
"D.Y. Patil Institute of Engineering, Thane 19",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3756,2482,1274,135,83,393,87,65,68,68,357,A+,2024
"D.Y. Patil Institute of Engineering, Thane 19",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,4101,2447,1654,138,80,462,90,65,65,70,364,A+,2025
"Fr. Conceicao Rodrigues College of Engineering, Ratnagiri",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,5047,2255,2792,303,89,1020,66,81,79,5,1231,A,2022
"Fr. Conceicao Rodrigues College of Engineering, Ratnagiri",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,5087,2431,2656,289,88,1023,69,80,79,2,1395,A,2023
"Fr. Conceicao Rodrigues College of Engineering, Ratnagiri",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,5656,2982,2674,306,89,999,66,78,81,2,1481,A,2024
"Fr. Conceicao Rodrigues College of Engineering, Ratnagiri",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,5483,3498,1985,305,90,1147,65,80,79,0,1414,A,2025
"Vivekanand Education Society's Institute of Technology, Nanded 29",University of Mumbai,Raigad,5381,3436,1945,226,90,558,87,73,58,6,166,A++,2022
"Vivekanand Education Society's Institute of Technology, Nanded 29",University of Mumbai,Raigad,5358,3148,2210,237,92,535,88,73,58,5,178,A++,2023
"Vivekanand Education Society's Institute of Technology, Nanded 29",University of Mumbai,Raigad,5830,3111,2719,211,89,578,89,74,60,8,188,A++,2024
"Vivekanand Education Society's Institute of Technology, Nanded 29",University of Mumbai,Raigad,6000,3826,2174,213,93,543,85,70,60,2,196,A++,2025
"Shri Guru Gobind Singhji Institute of Engineering, Kalyan",Shivaji University,Kolhapur,1494,638,856,90,65,267,91,90,89,97,384,B+,2022
"Shri Guru Gobind Singhji Institute of Engineering, Kalyan",Shivaji University,Kolhapur,1539,742,797,93,69,247,97,90,89,98,396,B+,2023
"Shri Guru Gobind Singhji Institute of Engineering, Kalyan",Shivaji University,Kolhapur,1556,687,869,82,66,271,96,89,86,95,452,B+,2024
"Shri Guru Gobind Singhji Institute of Engineering, Kalyan",Shivaji University,Kolhapur,1638,748,890,84,69,242,96,91,87,95,434,B+,2025
"Atharva College of Engineering, Lonavala",SNDT Women's University,Latur,724,381,343,32,55,90,75,89,57,89,803,A,2022
"Atharva College of Engineering, Lonavala",SNDT Women's University,Latur,768,358,410,30,57,99,77,90,55,84,869,A,2023
"Atharva College of Engineering, Lonavala",SNDT Women's University,Latur,828,451,377,33,64,86,77,88,55,85,895,A,2024
"Atharva College of Engineering, Lonavala",SNDT Women's University,Latur,825,457,368,34,60,103,74,87,55,86,894,A,2025
"Vivekanand Education Society's Institute of Technology, Lonavala",North Maharashtra University,Jalgaon,1821,1092,729,69,74,133,70,66,54,100,729,A,2022
"Vivekanand Education Society's Institute of Technology, Lonavala",North Maharashtra University,Jalgaon,1991,1101,890,72,74,127,71,66,55,97,770,A,2023
"Vivekanand Education Society's Institute of Technology, Lonavala",North Maharashtra University,Jalgaon,2160,1082,1078,77,79,132,74,67,54,100,796,A,2024
"Vivekanand Education Society's Institute of Technology, Lonavala",North Maharashtra University,Jalgaon,2084,1082,1002,70,78,130,77,65,55,98,903,A,2025
"Walchand College of Engineering, Aurangabad 27",Savitribai Phule Pune University,Pune,2101,1020,1081,100,63,225,66,65,67,21,330,B+,2022
"Walchand College of Engineering, Aurangabad 27",Savitribai Phule Pune University,Pune,2194,1125,1069,95,61,226,72,65,66,15,351,B+,2023
"Walchand College of Engineering, Aurangabad 27",Savitribai Phule Pune University,Pune,2111,1067,1044,101,62,250,71,65,69,17,384,B+,2024
"Walchand College of Engineering, Aurangabad 27",Savitribai Phule Pune University,Pune,2359,1053,1306,98,59,235,73,66,69,17,418,B+,2025
"Vivekanand Education Society's Institute of Technology, Amravati 15",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,1414,612,802,128,91,318,97,83,50,22,573,A++,2022
"Vivekanand Education Society's Institute of Technology, Amravati 15",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,1504,781,723,130,96,262,100,87,50,22,615,A++,2023
"Vivekanand Education Society's Institute of Technology, Amravati 15",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,1675,878,797,137,100,263,100,83,50,22,637,A++,2024
"Vivekanand Education Society's Institute of Technology, Amravati 15",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,1756,1067,689,124,99,284,100,85,53,23,666,A++,2025
"Maharashtra Institute of Technology, Aurangabad 68",Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,921,622,299,50,91,120,98,69,77,62,488,B,2022
"Maharashtra Institute of Technology, Aurangabad 68",Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,939,420,519,49,97,106,94,70,79,67,560,B,2023
"Maharashtra Institute of Technology, Aurangabad 68",Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,1100,729,371,54,96,121,95,69,77,63,546,B,2024
"Maharashtra Institute of Technology, Aurangabad 68",Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,1067,618,449,53,97,117,97,73,80,61,579,B,2025
"K.K. Wagh Institute of Engineering Education, Mumbai 85",SNDT Women's University,Nanded,5475,3371,2104,223,50,1200,87,90,93,14,1008,B++,2022
"K.K. Wagh Institute of Engineering Education, Mumbai 85",SNDT Women's University,Nanded,5591,2756,2835,219,52,1134,84,92,92,12,1084,B++,2023
"K.K. Wagh Institute of Engineering Education, Mumbai 85",SNDT Women's University,Nanded,6000,3548,2452,217,49,1200,83,93,92,11,1083,B++,2024
"K.K. Wagh Institute of Engineering Education, Mumbai 85",SNDT Women's University,Nanded,5944,3761,2183,199,48,1161,90,94,94,16,1283,B++,2025
"Terna Engineering College, Thane",Savitribai Phule Pune University,Pune,5135,3031,2104,350,50,573,95,85,76,76,1115,A,2022
"Terna Engineering College, Thane",Savitribai Phule Pune University,Pune,5325,3316,2009,332,54,521,99,85,73,74,1154,A,2023
"Terna Engineering College, Thane",Savitribai Phule Pune University,Pune,5334,2393,2941,322,58,496,95,86,76,75,1199,A,2024
"Terna Engineering College, Thane",Savitribai Phule Pune University,Pune,6000,2651,3349,346,54,519,99,87,75,73,1294,A,2025
"Shri Guru Gobind Singhji Institute of Engineering, Thane",Dr. Babasaheb Ambedkar Technological University,Amravati,1307,565,742,54,88,268,93,79,77,58,509,B,2022
"Shri Guru Gobind Singhji Institute of Engineering, Thane",Dr. Babasaheb Ambedkar Technological University,Amravati,1409,781,628,52,83,294,92,77,76,54,574,B,2023
"Shri Guru Gobind Singhji Institute of Engineering, Thane",Dr. Babasaheb Ambedkar Technological University,Amravati,1478,712,766,56,88,270,97,79,79,57,562,B,2024
"Shri Guru Gobind Singhji Institute of Engineering, Thane",Dr. Babasaheb Ambedkar Technological University,Amravati,1584,1027,557,53,88,267,95,78,78,59,631,B,2025
"Atharva College of Engineering, Nanded 52",Dr. Babasaheb Ambedkar Technological University,Amravati,3751,1667,2084,235,64,475,72,94,54,10,254,A,2022
"Atharva College of Engineering, Nanded 52",Dr. Babasaheb Ambedkar Technological University,Amravati,3742,1894,1848,233,58,469,69,95,53,9,279,A,2023
"Atharva College of Engineering, Nanded 52",Dr. Babasaheb Ambedkar Technological University,Amravati,4258,1977,2281,244,59,462,70,97,53,11,296,A,2024
"Atharva College of Engineering, Nanded 52",Dr. Babasaheb Ambedkar Technological University,Amravati,4260,1839,2421,216,64,484,72,97,54,14,287,A,2025
"Rajarambapu Institute of Technology, Satara",SNDT Women's University,Chandrapur,4488,2240,2248,350,83,733,66,93,73,87,882,A+,2022
"Rajarambapu Institute of Technology, Satara",SNDT Women's University,Chandrapur,4836,2048,2788,341,82,792,70,93,74,82,922,A+,2023
"Rajarambapu Institute of Technology, Satara",SNDT Women's University,Chandrapur,5169,3030,2139,330,84,787,70,90,73,85,950,A+,2024
"Rajarambapu Institute of Technology, Satara",SNDT Women's University,Chandrapur,5465,3283,2182,346,82,770,67,92,71,84,1113,A+,2025
"Ramrao Adik Institute of Technology, Mumbai 77",Shivaji University,Satara,1259,823,436,62,62,95,92,79,57,44,1141,A,2022
"Ramrao Adik Institute of Technology, Mumbai 77",Shivaji University,Satara,1367,672,695,59,63,106,93,81,55,44,1244,A,2023
"Ramrao Adik Institute of Technology, Mumbai 77",Shivaji University,Satara,1385,867,518,61,57,111,91,78,58,46,1235,A,2024
"Ramrao Adik Institute of Technology, Mumbai 77",Shivaji University,Satara,1530,890,640,64,61,101,89,79,55,44,1283,A,2025
"Pillai College of Engineering, Nashik 74",Shivaji University,Kolhapur,4598,2640,1958,170,84,708,94,65,87,83,575,B++,2022
"Pillai College of Engineering, Nashik 74",Shivaji University,Kolhapur,5135,3205,1930,184,89,731,92,66,88,86,613,B++,2023
"Pillai College of Engineering, Nashik 74",Shivaji University,Kolhapur,5249,2314,2935,175,89,854,94,67,90,84,707,B++,2024
"Pillai College of Engineering, Nashik 74",Shivaji University,Kolhapur,5165,2520,2645,178,87,734,97,66,88,86,735,B++,2025
"Government College of Engineering, Kolhapur",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,2954,1560,1394,177,56,595,97,91,54,18,1304,A,2022
"Government College of Engineering, Kolhapur",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3294,1465,1829,186,58,649,98,90,56,17,1354,A,2023
"Government College of Engineering, Kolhapur",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3317,1746,1571,171,62,587,100,91,53,21,1390,A,2024
"Government College of Engineering, Kolhapur",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3699,2310,1389,188,60,600,99,92,55,15,1500,A,2025
"Government College of Engineering, Nagpur 28",North Maharashtra University,Jalgaon,3842,2016,1826,221,72,430,77,68,52,18,395,B++,2022
"Government College of Engineering, Nagpur 28",North Maharashtra University,Jalgaon,4152,2103,2049,225,69,439,82,70,52,16,421,B++,2023
"Government College of Engineering, Nagpur 28",North Maharashtra University,Jalgaon,4388,2686,1702,223,69,435,82,71,53,17,457,B++,2024
"Government College of Engineering, Nagpur 28",North Maharashtra University,Jalgaon,4593,2113,2480,245,67,460,83,69,52,16,434,B++,2025
"K.K. Wagh Institute of Engineering Education, Mumbai",Shivaji University,Solapur,5497,2481,3016,294,82,682,74,80,100,65,294,B++,2022
"K.K. Wagh Institute of Engineering Education, Mumbai",Shivaji University,Solapur,5520,2899,2621,339,83,791,78,78,100,68,330,B++,2023
"K.K. Wagh Institute of Engineering Education, Mumbai",Shivaji University,Solapur,5772,2643,3129,290,83,788,80,77,98,66,355,B++,2024
"K.K. Wagh Institute of Engineering Education, Mumbai",Shivaji University,Solapur,6000,3262,2738,304,83,809,79,78,99,65,360,B++,2025
"Pillai College of Engineering, Satara",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,5057,2733,2324,283,85,496,74,88,90,4,105,B,2022
"Pillai College of Engineering, Satara",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,4947,2914,2033,276,91,497,73,89,90,9,111,B,2023
"Pillai College of Engineering, Satara",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,5149,2374,2775,270,93,516,77,92,90,8,113,B,2024
"Pillai College of Engineering, Satara",Rashtrasant Tukadoji Maharaj Nagpur University,Wardha,5850,2992,2858,279,91,543,79,89,89,10,130,B,2025
"Bharti Vidyapeeth College of Engineering, Latur 99",Savitribai Phule Pune University,Nashik,2596,1356,1240,177,48,376,87,78,58,49,1106,A,2022
"Bharti Vidyapeeth College of Engineering, Latur 99",Savitribai Phule Pune University,Nashik,2786,1647,1139,159,47,392,88,76,60,45,1111,A,2023
"Bharti Vidyapeeth College of Engineering, Latur 99",Savitribai Phule Pune University,Nashik,3049,1406,1643,155,45,385,90,77,59,51,1198,A,2024
"Bharti Vidyapeeth College of Engineering, Latur 99",Savitribai Phule Pune University,Nashik,3181,2094,1087,173,45,416,87,77,60,45,1236,A,2025
"Sandip Foundation College of Engineering, Chandrapur",North Maharashtra University,Jalgaon,761,327,434,45,77,183,81,90,86,50,1252,B,2022
"Sandip Foundation College of Engineering, Chandrapur",North Maharashtra University,Jalgaon,816,370,446,44,79,163,79,93,88,53,1349,B,2023
"Sandip Foundation College of Engineering, Chandrapur",North Maharashtra University,Jalgaon,832,384,448,46,75,159,78,90,86,48,1500,B,2024
"Sandip Foundation College of Engineering, Chandrapur",North Maharashtra University,Jalgaon,951,488,463,43,81,186,81,91,88,49,1500,B,2025
"Atharva College of Engineering, Latur",University of Mumbai,Mumbai,1765,958,807,74,88,261,86,68,79,13,552,A,2022
"Atharva College of Engineering, Latur",University of Mumbai,Mumbai,1921,1091,830,71,89,234,80,71,77,10,589,A,2023
"Atharva College of Engineering, Latur",University of Mumbai,Mumbai,1906,911,995,81,86,238,83,68,77,12,591,A,2024
"Atharva College of Engineering, Latur",University of Mumbai,Mumbai,2060,1322,738,81,91,234,86,68,76,14,655,A,2025
"Atharva College of Engineering, Baramati",Savitribai Phule Pune University,Pune,2899,1415,1484,117,60,318,68,69,81,79,297,B++,2022
"Atharva College of Engineering, Baramati",Savitribai Phule Pune University,Pune,3046,1540,1506,132,56,306,67,71,81,80,340,B++,2023
"Atharva College of Engineering, Baramati",Savitribai Phule Pune University,Pune,3266,1879,1387,129,58,349,71,68,83,83,327,B++,2024
"Atharva College of Engineering, Baramati",Savitribai Phule Pune University,Pune,3056,1686,1370,130,64,322,75,68,81,78,344,B++,2025
"Dwarkadas J. Sanghvi College of Engineering, Navi Mumbai",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3182,1498,1684,144,88,659,77,69,61,29,457,A,2022
"Dwarkadas J. Sanghvi College of Engineering, Navi Mumbai",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3233,1463,1770,146,91,589,75,69,60,31,477,A,2023
"Dwarkadas J. Sanghvi College of Engineering, Navi Mumbai",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3417,1486,1931,135,84,601,78,73,58,35,494,A,2024
"Dwarkadas J. Sanghvi College of Engineering, Navi Mumbai",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,3716,2345,1371,132,87,628,76,69,60,31,561,A,2025
"Sinhgad Institute of Technology, Shirur",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,1062,721,341,70,96,174,86,91,92,71,1339,B,2022
"Sinhgad Institute of Technology, Shirur",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,1050,633,417,78,94,173,88,93,94,75,1403,B,2023
"Sinhgad Institute of Technology, Shirur",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,1142,559,583,77,100,161,89,94,95,71,1400,B,2024
"Sinhgad Institute of Technology, Shirur",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,1259,804,455,75,97,183,89,91,94,74,1500,B,2025
"Smt. Kashibai Navale College of Engineering, Shirur",University of Mumbai,Raigad,1547,1043,504,93,78,236,76,83,86,6,737,A,2022
"Smt. Kashibai Navale College of Engineering, Shirur",University of Mumbai,Raigad,1663,1056,607,84,76,232,79,83,86,10,791,A,2023
"Smt. Kashibai Navale College of Engineering, Shirur",University of Mumbai,Raigad,1759,841,918,89,79,218,82,82,86,8,876,A,2024
"Smt. Kashibai Navale College of Engineering, Shirur",University of Mumbai,Raigad,1963,1288,675,94,79,235,80,84,87,10,847,A,2025
"Dwarkadas J. Sanghvi College of Engineering, Nagpur",Dr. Babasaheb Ambedkar Technological University,Akola,3301,1919,1382,147,45,595,66,98,75,62,1222,A++,2022
"Dwarkadas J. Sanghvi College of Engineering, Nagpur",Dr. Babasaheb Ambedkar Technological University,Akola,3426,1816,1610,143,54,534,65,98,74,57,1306,A++,2023
"Dwarkadas J. Sanghvi College of Engineering, Nagpur",Dr. Babasaheb Ambedkar Technological University,Akola,3497,2089,1408,133,50,591,65,97,76,56,1354,A++,2024
"Dwarkadas J. Sanghvi College of Engineering, Nagpur",Dr. Babasaheb Ambedkar Technological University,Akola,3698,2186,1512,145,48,518,68,97,75,62,1358,A++,2025
"Vivekanand Education Society's Institute of Technology, Chandrapur 6",Dr. Babasaheb Ambedkar Technological University,Akola,5003,2673,2330,276,55,1156,91,73,71,91,240,A,2022
"Vivekanand Education Society's Institute of Technology, Chandrapur 6",Dr. Babasaheb Ambedkar Technological University,Akola,5531,2720,2811,282,56,1200,88,70,72,94,272,A,2023
"Vivekanand Education Society's Institute of Technology, Chandrapur 6",Dr. Babasaheb Ambedkar Technological University,Akola,5407,2966,2441,265,54,1079,90,69,71,88,287,A,2024
"Vivekanand Education Society's Institute of Technology, Chandrapur 6",Dr. Babasaheb Ambedkar Technological University,Akola,5596,3087,2509,275,58,1054,92,70,70,93,317,A,2025
"Dwarkadas J. Sanghvi College of Engineering, Lonavala",Shivaji University,Kolhapur,3914,1660,2254,154,79,571,67,90,73,35,792,B,2022
"Dwarkadas J. Sanghvi College of Engineering, Lonavala",Shivaji University,Kolhapur,3966,1782,2184,136,78,547,69,89,72,38,866,B,2023
"Dwarkadas J. Sanghvi College of Engineering, Lonavala",Shivaji University,Kolhapur,4061,1731,2330,148,81,548,71,88,75,35,939,B,2024
"Dwarkadas J. Sanghvi College of Engineering, Lonavala",Shivaji University,Kolhapur,4177,1802,2375,156,77,522,70,88,74,34,967,B,2025
"Atharva College of Engineering, Dhule",University of Mumbai,Palghar,5252,3103,2149,238,46,655,93,91,70,33,1344,A++,2022
"Atharva College of Engineering, Dhule",University of Mumbai,Palghar,5694,3172,2522,234,53,620,96,90,69,31,1369,A++,2023
"Atharva College of Engineering, Dhule",University of Mumbai,Palghar,5832,3830,2002,246,52,568,95,87,68,32,1500,A++,2024
"Atharva College of Engineering, Dhule",University of Mumbai,Palghar,6000,3084,2916,247,56,550,96,90,68,32,1500,A++,2025
"K.K. Wagh Institute of Engineering Education, Aurangabad",Shivaji University,Sindhudurg,1489,945,544,66,68,336,85,75,88,91,245,B,2022
"K.K. Wagh Institute of Engineering Education, Aurangabad",Shivaji University,Sindhudurg,1572,788,784,57,67,355,83,75,90,92,276,B,2023
"K.K. Wagh Institute of Engineering Education, Aurangabad",Shivaji University,Sindhudurg,1631,761,870,61,64,328,85,75,90,92,270,B,2024
"K.K. Wagh Institute of Engineering Education, Aurangabad",Shivaji University,Sindhudurg,1859,1183,676,57,65,389,85,75,90,90,294,B,2025
"Shri Guru Gobind Singhji Institute of Engineering, Karad",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,1410,796,614,70,89,327,96,70,90,87,854,A,2022
"Shri Guru Gobind Singhji Institute of Engineering, Karad",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,1536,786,750,67,95,347,95,71,92,88,942,A,2023
"Shri Guru Gobind Singhji Institute of Engineering, Karad",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,1509,705,804,70,98,310,91,72,92,87,1020,A,2024
"Shri Guru Gobind Singhji Institute of Engineering, Karad",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,1628,869,759,68,95,369,92,69,92,85,1042,A,2025
"Shri Guru Gobind Singhji Institute of Engineering, Kolhapur 44",North Maharashtra University,Nandurbar,1916,1251,665,133,55,151,78,71,82,96,1063,B++,2022
"Shri Guru Gobind Singhji Institute of Engineering, Kolhapur 44",North Maharashtra University,Nandurbar,2102,1365,737,136,56,158,79,73,83,95,1159,B++,2023
"Shri Guru Gobind Singhji Institute of Engineering, Kolhapur 44",North Maharashtra University,Nandurbar,2030,1004,1026,131,54,170,78,71,81,96,1274,B++,2024
"Shri Guru Gobind Singhji Institute of Engineering, Kolhapur 44",North Maharashtra University,Nandurbar,2112,1000,1112,139,54,143,77,73,82,95,1323,B++,2025
"Vishwakarma Institute of Technology, Dhule",University of Mumbai,Palghar,1667,860,807,115,91,333,71,92,54,51,798,B++,2022
"Vishwakarma Institute of Technology, Dhule",University of Mumbai,Palghar,1748,1151,597,112,92,318,67,92,53,54,839,B++,2023
"Vishwakarma Institute of Technology, Dhule",University of Mumbai,Palghar,1897,1193,704,124,90,333,70,92,53,51,873,B++,2024
"Vishwakarma Institute of Technology, Dhule",University of Mumbai,Palghar,1944,1156,788,111,93,344,69,94,51,54,965,B++,2025
"Sandip Foundation College of Engineering, Akola",SNDT Women's University,Akola,3781,2415,1366,271,56,466,92,75,73,84,1167,B,2022
"Sandip Foundation College of Engineering, Akola",SNDT Women's University,Akola,4207,2007,2200,252,64,398,93,76,75,85,1194,B,2023
"Sandip Foundation College of Engineering, Akola",SNDT Women's University,Akola,4328,1917,2411,265,61,385,88,78,73,88,1268,B,2024
"Sandip Foundation College of Engineering, Akola",SNDT Women's University,Akola,4421,2159,2262,259,62,439,92,79,73,85,1455,B,2025
"Fr. Conceicao Rodrigues College of Engineering, Thane 49",SNDT Women's University,Nanded,2028,1203,825,85,55,431,64,96,74,67,277,A+,2022
"Fr. Conceicao Rodrigues College of Engineering, Thane 49",SNDT Women's University,Nanded,2169,1416,753,89,56,462,62,94,75,67,293,A+,2023
"Fr. Conceicao Rodrigues College of Engineering, Thane 49",SNDT Women's University,Nanded,2294,1357,937,83,57,440,67,96,75,71,318,A+,2024
"Fr. Conceicao Rodrigues College of Engineering, Thane 49",SNDT Women's University,Nanded,2205,1092,1113,86,58,385,68,95,74,72,333,A+,2025
"Terna Engineering College, Navi Mumbai 37",Savitribai Phule Pune University,Pune,2491,1332,1159,139,73,195,89,69,65,59,763,A+,2022
"Terna Engineering College, Navi Mumbai 37",Savitribai Phule Pune University,Pune,2599,1368,1231,143,76,206,90,68,65,55,803,A+,2023
"Terna Engineering College, Navi Mumbai 37",Savitribai Phule Pune University,Pune,2631,1599,1032,148,76,216,87,70,63,59,803,A+,2024
"Terna Engineering College, Navi Mumbai 37",Savitribai Phule Pune University,Pune,2814,1573,1241,153,84,200,91,69,65,60,857,A+,2025
"Government College of Engineering, Satara",SNDT Women's University,Nanded,3333,1758,1575,132,67,350,77,69,94,84,713,A+,2022
"Government College of Engineering, Satara",SNDT Women's University,Nanded,3547,1634,1913,126,68,330,82,70,94,82,785,A+,2023
"Government College of Engineering, Satara",SNDT Women's University,Nanded,3873,2007,1866,128,70,345,78,69,97,80,771,A+,2024
"Government College of Engineering, Satara",SNDT Women's University,Nanded,4088,2359,1729,123,73,302,83,71,96,83,865,A+,2025
"Thadomal Shahani Engineering College, Bandra 98",SNDT Women's University,Yavatmal,4885,2399,2486,333,50,321,74,75,87,92,1224,B++,2022
"Thadomal Shahani Engineering College, Bandra 98",SNDT Women's University,Yavatmal,5219,2743,2476,337,51,317,74,76,85,93,1253,B++,2023
"Thadomal Shahani Engineering College, Bandra 98",SNDT Women's University,Yavatmal,5648,2950,2698,342,56,306,74,73,84,93,1440,B++,2024
"Thadomal Shahani Engineering College, Bandra 98",SNDT Women's University,Yavatmal,5886,3201,2685,328,53,284,78,72,84,94,1418,B++,2025
"Dwarkadas J. Sanghvi College of Engineering, Satara",Shivaji University,Satara,2816,1541,1275,203,58,353,100,95,54,11,1048,A+,2022
"Dwarkadas J. Sanghvi College of Engineering, Satara",Shivaji University,Satara,2804,1404,1400,206,59,326,100,96,56,17,1044,A+,2023
"Dwarkadas J. Sanghvi College of Engineering, Satara",Shivaji University,Satara,3094,1906,1188,221,66,359,100,93,55,14,1193,A+,2024
"Dwarkadas J. Sanghvi College of Engineering, Satara",Shivaji University,Satara,3180,2045,1135,228,60,390,100,92,56,12,1275,A+,2025
"K.K. Wagh Institute of Engineering Education, Karad",Dr. Babasaheb Ambedkar Technological University,Nanded,1496,919,577,94,48,277,72,89,63,85,1309,B,2022
"K.K. Wagh Institute of Engineering Education, Karad",Dr. Babasaheb Ambedkar Technological University,Nanded,1676,916,760,103,50,253,72,91,60,85,1500,B,2023
"K.K. Wagh Institute of Engineering Education, Karad",Dr. Babasaheb Ambedkar Technological University,Nanded,1753,1137,616,96,48,263,75,93,61,83,1488,B,2024
"K.K. Wagh Institute of Engineering Education, Karad",Dr. Babasaheb Ambedkar Technological University,Nanded,1836,1154,682,107,49,258,76,92,63,83,1500,B,2025
"Rajarambapu Institute of Technology, Navi Mumbai 9",North Maharashtra University,Nandurbar,4729,2871,1858,259,75,666,86,96,51,80,810,B+,2022
"Rajarambapu Institute of Technology, Navi Mumbai 9",North Maharashtra University,Nandurbar,4634,2027,2607,264,78,742,82,93,54,80,837,B+,2023
"Rajarambapu Institute of Technology, Navi Mumbai 9",North Maharashtra University,Nandurbar,5130,2947,2183,228,83,768,84,93,52,80,903,B+,2024
"Rajarambapu Institute of Technology, Navi Mumbai 9",North Maharashtra University,Nandurbar,5589,2966,2623,255,81,731,86,95,52,78,992,B+,2025
"Pillai College of Engineering, Amravati 46",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,2952,1405,1547,198,84,482,98,88,60,4,755,A++,2022
"Pillai College of Engineering, Amravati 46",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,3341,1928,1413,224,91,490,94,85,58,2,834,A++,2023
"Pillai College of Engineering, Amravati 46",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,3436,1571,1865,208,85,502,95,85,60,5,868,A++,2024
"Pillai College of Engineering, Amravati 46",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,3476,1912,1564,196,94,509,100,87,60,4,881,A++,2025
"Vivekanand Education Society's Institute of Technology, Nanded 23",SNDT Women's University,Osmanabad,4074,2273,1801,211,52,292,91,67,68,28,172,B,2022
"Vivekanand Education Society's Institute of Technology, Nanded 23",SNDT Women's University,Osmanabad,4261,2559,1702,191,51,271,89,67,68,22,191,B,2023
"Vivekanand Education Society's Institute of Technology, Nanded 23",SNDT Women's University,Osmanabad,4696,2913,1783,194,57,252,91,66,70,24,189,B,2024
"Vivekanand Education Society's Institute of Technology, Nanded 23",SNDT Women's University,Osmanabad,4882,2063,2819,197,60,251,92,67,69,22,218,B,2025
"Bharti Vidyapeeth College of Engineering, Mumbai",Shivaji University,Satara,3586,1974,1612,124,79,444,61,78,70,42,187,B+,2022
"Bharti Vidyapeeth College of Engineering, Mumbai",Shivaji University,Satara,3725,1830,1895,125,76,525,62,79,70,45,186,B+,2023
"Bharti Vidyapeeth College of Engineering, Mumbai",Shivaji University,Satara,3950,2324,1626,135,78,444,60,79,68,47,209,B+,2024
"Bharti Vidyapeeth College of Engineering, Mumbai",Shivaji University,Satara,4220,1916,2304,133,79,446,66,75,69,42,226,B+,2025
"Smt. Kashibai Navale College of Engineering, Nanded",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,3680,2361,1319,158,88,490,86,86,61,64,1040,A,2022
"Smt. Kashibai Navale College of Engineering, Nanded",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,3902,1653,2249,159,95,542,86,84,60,61,1125,A,2023
"Smt. Kashibai Navale College of Engineering, Nanded",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,4161,2536,1625,144,97,461,86,85,63,61,1178,A,2024
"Smt. Kashibai Navale College of Engineering, Nanded",Rashtrasant Tukadoji Maharaj Nagpur University,Gondia,4559,3030,1529,150,99,492,85,87,60,64,1297,A,2025
